experiment_id,metric,day,control_n,control_mean,control_se,treatment_n,treatment_mean,treatment_se,obs_lift,obs_lift_se,true_effect
exp_06,session_duration,8,329840,323.91916798,0.56400764,306819,331.17984887,0.59789205,0.0224151,0.00256441,0.02061598
exp_06,session_duration,9,347577,327.78564311,0.55598671,328035,335.72216351,0.58616505,0.02421253,0.00249318,0.021848
exp_06,session_duration,10,320422,318.12559717,0.56200147,347318,325.18432954,0.55178001,0.02218851,0.00250386,0.02305182
exp_06,session_duration,11,359031,302.1836038,0.50431853,365398,309.29869102,0.51167594,0.02354558,0.00240523,0.02422809
exp_06,session_duration,12,322802,291.78399735,0.51356257,310998,299.59619653,0.53722659,0.02677391,0.00257991,0.02537745
exp_06,session_duration,13,318189,295.59504661,0.52402809,309959,302.98761294,0.54421781,0.0250091,0.00258681,0.0265005
exp_06,session_duration,14,327870,310.0558639,0.54148834,316348,318.61425685,0.56647749,0.02760275,0.00256099,0.02759785
exp_06,session_duration,15,324078,324.90180998,0.5707256,363979,333.81336582,0.55330623,0.02742846,0.00248142,0.02867008
exp_06,session_duration,16,348346,328.36287046,0.55635069,318941,337.50969811,0.5976282,0.02785585,0.002519,0.02971778
exp_06,session_duration,17,361291,318.13919484,0.52928381,348379,327.3219999,0.55456086,0.02886411,0.00244305,0.0307415
exp_06,session_duration,18,342591,301.37632737,0.51489795,323613,311.48125738,0.54754389,0.03352928,0.00253353,0.03174179
exp_06,session_duration,19,359713,292.17240887,0.48714824,324334,301.51414574,0.52943354,0.03197337,0.00249883,0.03271919
exp_06,session_duration,20,301158,294.94772345,0.5374621,349943,305.40282651,0.51626704,0.03544731,0.00257369,0.03367422
exp_06,session_duration,21,339011,309.93003727,0.53230038,330134,320.13209363,0.55716533,0.03291729,0.00252565,0.0346074
exp_06,session_duration,22,311564,324.2314918,0.58087349,329117,336.31163963,0.58622825,0.03725779,0.00259274,0.03551922
exp_06,session_duration,23,339059,327.54921197,0.56252123,320722,339.87435117,0.60014199,0.03762836,0.00255588,0.03641017
exp_06,session_duration,24,325912,318.44518136,0.5578077,349156,329.77076623,0.55808763,0.03556526,0.00252227,0.03728073
exp_06,session_duration,25,303264,301.32553025,0.54717406,336550,313.45318064,0.54031607,0.04024767,0.00260452,0.03813137
exp_06,session_duration,26,343693,292.35730368,0.49868764,341934,303.02703853,0.51821531,0.03649553,0.00250354,0.03896254
exp_06,session_duration,27,332269,295.21122568,0.51213913,353668,307.29496113,0.51672272,0.04093251,0.00251491,0.03977469
exp_06,session_duration,28,333775,309.25983987,0.53529924,350684,321.68501197,0.54321637,0.04017713,0.00251534,0.04056826
exp_06,session_duration,29,353592,324.18462799,0.54518162,353995,338.3816431,0.56873274,0.04379299,0.00248173,0.04134366
exp_06,session_duration,30,332989,328.29773804,0.56892229,305159,341.76610002,0.61867974,0.04102484,0.00260882,0.04210132
exp_06,session_duration,31,325536,317.60343645,0.55665445,327701,332.23322145,0.58036896,0.04606306,0.00258854,0.04284164
exp_06,session_duration,32,345462,301.49793834,0.51296083,335329,315.75736404,0.54527794,0.04729527,0.00253887,0.04356501
exp_06,session_duration,33,323570,292.16505551,0.51362263,342448,304.3801623,0.52013853,0.04180892,0.00255417,0.04427183
exp_06,session_duration,34,315695,295.94767738,0.52672155,349637,308.22478094,0.52126535,0.04148403,0.00255699,0.04496248
exp_06,session_duration,35,337223,310.56858161,0.53480927,330432,323.89029418,0.56345195,0.04289459,0.0025528,0.04563732
exp_06,session_duration,36,342996,324.85471129,0.55468273,362657,338.85202823,0.56268075,0.04308793,0.00248441,0.04629671
exp_06,session_duration,37,319756,327.1750197,0.57858982,341023,343.31021249,0.5878884,0.0493167,0.00258305,0.04694102
exp_06,session_duration,38,302836,317.74766368,0.57740244,330420,333.20260966,0.57966253,0.04863905,0.00263802,0.04757058
exp_06,session_duration,39,342621,302.42418068,0.51666557,343705,316.23391276,0.53940568,0.04566345,0.00252439,0.04818573
exp_06,session_duration,40,315525,291.323772,0.51863167,304846,306.75429811,0.55558486,0.05296693,0.00267414,0.0487868
exp_06,session_duration,41,353478,296.04896552,0.49794612,315854,310.41428904,0.55232985,0.04852347,0.00256729,0.04937412
exp_06,photo_review_starts,0,176260,0.06081219,0.00056924,189709,0.06512639,0.00056651,0.07094299,0.01368497,0.10018433
exp_06,photo_review_starts,1,183904,0.06407702,0.00057105,179728,0.06807645,0.00059413,0.06241607,0.01325213,0.09277004
exp_06,photo_review_starts,2,181309,0.06400199,0.00057481,180041,0.06884516,0.00059671,0.0756723,0.01342586,0.08625654
exp_06,photo_review_starts,3,181389,0.06249177,0.00056832,165652,0.06680491,0.00061347,0.06901942,0.01381618,0.08053439
exp_06,photo_review_starts,4,167586,0.05765905,0.0005694,190210,0.06335761,0.00055856,0.09883207,0.0145463,0.07550745
exp_06,photo_review_starts,5,178691,0.05657927,0.00054655,156855,0.06133066,0.00060582,0.08397753,0.01497648,0.07109126
exp_06,photo_review_starts,6,166536,0.05648862,0.00056572,169175,0.05992016,0.00057703,0.06074736,0.0147376,0.0672116
exp_06,photo_review_starts,7,164138,0.05921614,0.00058259,184638,0.06458745,0.00057203,0.09070698,0.01443824,0.0638033
exp_06,photo_review_starts,8,167327,0.06363965,0.00059676,187350,0.06698889,0.00057759,0.0526282,0.01340909,0.06080908
exp_06,photo_review_starts,9,186659,0.06441512,0.00056821,174619,0.06755767,0.00060062,0.04878596,0.01313512,0.05817865
exp_06,photo_review_starts,10,172110,0.06155421,0.00057934,156782,0.06519012,0.00062345,0.0590685,0.01421067,0.05586779
exp_06,photo_review_starts,11,188883,0.0588207,0.00054138,161809,0.06179138,0.00059857,0.05050398,0.01403706,0.05383769
exp_06,photo_review_starts,12,158133,0.05712789,0.00058363,156559,0.0590812,0.00059588,0.03419193,0.0148469,0.05205424
exp_06,photo_review_starts,13,187996,0.05649969,0.0005325,171746,0.05994101,0.00057279,0.0609086,0.01423923,0.05048746
exp_06,photo_review_starts,14,169509,0.05970669,0.0005755,185949,0.06377242,0.00056664,0.06809503,0.01400212,0.04911104
exp_06,photo_review_starts,15,179417,0.06223971,0.00057036,158977,0.06509677,0.00061872,0.04590418,0.01380893,0.04790185
exp_06,photo_review_starts,16,160030,0.0636887,0.00061044,183761,0.06702414,0.00058334,0.05237105,0.01362473,0.04683956
exp_06,photo_review_starts,17,182930,0.06170013,0.00056256,170989,0.0647445,0.00059509,0.04934134,0.01358536,0.04590634
exp_06,photo_review_starts,18,161040,0.05789568,0.00058198,187479,0.06145875,0.00055468,0.06154287,0.01434069,0.04508649
exp_06,photo_review_starts,19,164009,0.05666905,0.00057091,186156,0.05989936,0.00055,0.057003,0.01440806,0.04436626
exp_06,photo_review_starts,20,187966,0.05755004,0.00053717,180517,0.06017421,0.00055972,0.04559802,0.01377825,0.04373352
exp_06,photo_review_starts,21,168522,0.06157506,0.00058556,160693,0.06342462,0.000608,0.03003758,0.01390854,0.04317766
exp_06,photo_review_starts,22,164151,0.06307757,0.00060002,186047,0.06504091,0.00057171,0.03112581,0.01335504,0.04268934
exp_06,photo_review_starts,23,166196,0.06330378,0.00059732,167650,0.06632049,0.00060774,0.04765453,0.01378002,0.04226034
exp_06,photo_review_starts,24,178144,0.0624284,0.0005732,176270,0.06369762,0.00058168,0.02033078,0.01321297,0.04188346
exp_06,photo_review_starts,25,179456,0.058481,0.00055391,177592,0.06084373,0.00056724,0.04040169,0.01382713,0.04155237
exp_06,photo_review_starts,26,183458,0.05680207,0.0005404,159282,0.05989531,0.00059457,0.05445663,0.01449838,0.04126151
exp_06,photo_review_starts,27,180240,0.05795169,0.00055036,171288,0.0591757,0.00057012,0.0211213,0.0138138,0.04100599
exp_06,photo_review_starts,28,165937,0.05936269,0.00058009,181540,0.06215979,0.00056667,0.04711876,0.01399385,0.0407815
exp_06,photo_review_starts,29,184535,0.06246972,0.00056336,187354,0.06489738,0.00056913,0.03886141,0.01306799,0.0405843
exp_06,photo_review_starts,30,174035,0.06479479,0.00059007,166065,0.06471009,0.0006037,-0.00130723,0.01302017,0.04041105
exp_06,photo_review_starts,31,189854,0.0620057,0.00055349,180950,0.06542083,0.00058128,0.05507764,0.01328845,0.04025885
exp_06,photo_review_starts,32,169515,0.05860437,0.00057049,177280,0.06039651,0.00056578,0.03058031,0.01392303,0.04012514
exp_06,photo_review_starts,33,181904,0.05703509,0.00054375,161484,0.059466,0.00058851,0.04262144,0.01432733,0.04000768
exp_06,photo_review_starts,34,160302,0.05725376,0.00058027,186394,0.05989282,0.00054962,0.04609416,0.01430247,0.03990449
exp_06,photo_review_starts,35,166481,0.06032968,0.00058354,181613,0.06179874,0.00056502,0.02435058,0.0136339,0.03981383
exp_06,photo_review_starts,36,159932,0.06321188,0.00060849,162900,0.06513108,0.00061138,0.03036148,0.01385353,0.03973419
exp_06,photo_review_starts,37,188899,0.06358976,0.00056145,162017,0.06564254,0.00061527,0.03228147,0.01329245,0.03966422
exp_06,photo_review_starts,38,175269,0.06126782,0.00057284,156316,0.06323442,0.00061559,0.03209854,0.01393101,0.03960276
exp_06,photo_review_starts,39,180972,0.05879427,0.00055297,155803,0.06044486,0.00060374,0.02807396,0.01410468,0.03954876
exp_06,photo_review_starts,40,167312,0.05469949,0.00055592,162744,0.05845184,0.00058152,0.06859951,0.01519774,0.03950133
exp_06,photo_review_starts,41,187678,0.05700479,0.00053518,179446,0.05888518,0.00055572,0.03298648,0.01375101,0.03945965
exp_07,draft_abandonment,0,259931,0.30868568,0.00090608,257287,0.31365268,0.00091472,0.01609082,0.00420433,0.01083451
exp_07,draft_abandonment,1,296810,0.3236187,0.00085876,300582,0.32741998,0.00085594,0.01174615,0.00376877,0.01083451
exp_07,draft_abandonment,2,269625,0.32839178,0.00090443,252627,0.33244162,0.00093727,0.01233231,0.0039899,0.01083451
exp_07,draft_abandonment,3,249602,0.31897824,0.0009329,303604,0.32127254,0.00084748,0.00719263,0.00396687,0.01083451
exp_07,draft_abandonment,4,257554,0.30366926,0.0009061,250506,0.30444382,0.00091941,0.00255069,0.00425623,0.01083451
exp_07,draft_abandonment,5,278062,0.29245192,0.00086265,261153,0.29523028,0.0008926,0.00950024,0.00426408,0.01083451
exp_07,draft_abandonment,6,285524,0.29445042,0.000853,257548,0.29777088,0.00090106,0.01127682,0.00423637,0.01083451
exp_07,draft_abandonment,7,289464,0.30910932,0.00085894,273229,0.31372635,0.00088769,0.01493657,0.00402504,0.01083451
exp_07,draft_abandonment,8,254873,0.32368551,0.00092677,265493,0.32693722,0.0009104,0.0100459,0.00403413,0.01083451
exp_07,draft_abandonment,9,255372,0.32615332,0.00092769,251190,0.33184711,0.00093952,0.01745741,0.00408328,0.01083451
exp_07,draft_abandonment,10,293400,0.31769418,0.00085954,253453,0.32164807,0.00092783,0.0124456,0.00400409,0.01083451
exp_07,draft_abandonment,11,274803,0.30317706,0.0008768,288637,0.30503812,0.000857,0.00613853,0.00405675,0.01083451
exp_07,draft_abandonment,12,289363,0.29186451,0.00084514,275681,0.2950803,0.00086863,0.01101808,0.00417469,0.01083451
exp_07,draft_abandonment,13,279894,0.29533769,0.00086229,280992,0.2990034,0.00086367,0.01241195,0.00415804,0.01083451
exp_07,draft_abandonment,14,302646,0.30943733,0.00084027,300503,0.31384826,0.00084654,0.01425466,0.00388198,0.01083451
exp_07,draft_abandonment,15,275506,0.32441434,0.00089192,250055,0.32824333,0.00093904,0.01180279,0.00401458,0.01083451
exp_07,draft_abandonment,16,255517,0.32815793,0.00092889,258980,0.331441,0.000925,0.01000456,0.00401484,0.01083451
exp_07,draft_abandonment,17,250544,0.3172923,0.00092983,281695,0.32100967,0.00087963,0.01171594,0.00405908,0.01083451
exp_07,draft_abandonment,18,286555,0.30343943,0.00085884,273959,0.3064812,0.00088082,0.01002431,0.00407412,0.01083451
exp_07,draft_abandonment,19,283212,0.29141348,0.00085388,272043,0.29432279,0.00087377,0.00998344,0.00421286,0.01083451
exp_07,draft_abandonment,20,273658,0.29343862,0.00087042,278708,0.3000791,0.0008681,0.02262988,0.00423715,0.01083451
exp_07,draft_abandonment,21,260184,0.31024195,0.0009069,276241,0.31352795,0.00088268,0.01059175,0.00410145,0.01083451
exp_07,draft_abandonment,22,262065,0.32541443,0.00091523,287362,0.32810337,0.00087587,0.00826314,0.00390974,0.01083451
exp_07,draft_abandonment,23,269213,0.32868927,0.00090533,257176,0.33104933,0.00092796,0.00718022,0.00395807,0.01083451
exp_07,draft_abandonment,24,258878,0.3183301,0.00091554,261942,0.32161116,0.00091265,0.0103071,0.00408201,0.01083451
exp_07,draft_abandonment,25,259172,0.30240523,0.0009022,287694,0.30335299,0.00085707,0.00313409,0.00412179,0.01083451
exp_07,draft_abandonment,26,273615,0.29179193,0.00086905,303292,0.29664178,0.00082942,0.01662092,0.00415303,0.01083451
exp_07,draft_abandonment,27,249919,0.29489818,0.00091214,290876,0.2980297,0.00084808,0.01061898,0.00424756,0.01083451
exp_07,draft_abandonment,28,300828,0.31001514,0.00084324,286596,0.31305974,0.00086624,0.00982078,0.00391815,0.01083451
exp_07,draft_abandonment,29,284052,0.32420029,0.00087825,293456,0.32790748,0.0008666,0.01143489,0.00382785,0.01083451
exp_07,draft_abandonment,30,264446,0.32949422,0.00091402,252929,0.33112133,0.00093577,0.00493819,0.00397957,0.01083451
exp_07,draft_abandonment,31,275300,0.31690174,0.00088675,272092,0.32141715,0.00089532,0.01424861,0.00400455,0.01083451
exp_07,draft_abandonment,32,267808,0.30315936,0.00088816,258094,0.30524507,0.00090647,0.00687992,0.00420024,0.01083451
exp_07,draft_abandonment,33,289136,0.29152613,0.00084518,278179,0.29488029,0.00086455,0.01150553,0.00417067,0.01083451
exp_07,draft_abandonment,34,280679,0.29504163,0.00086083,294607,0.29745834,0.00084222,0.00819107,0.00409896,0.01083451
exp_07,draft_abandonment,35,290071,0.30938713,0.00085825,264927,0.31313586,0.00090103,0.01211665,0.0040453,0.01083451
exp_07,draft_abandonment,36,271879,0.325083,0.00089833,255887,0.32870255,0.00092861,0.01113424,0.00399588,0.01083451
exp_07,draft_abandonment,37,277317,0.3279193,0.00089147,256113,0.33016223,0.00092925,0.00683988,0.00393984,0.01083451
exp_07,draft_abandonment,38,250835,0.31858262,0.0009303,278303,0.32124944,0.00088515,0.00837088,0.00404846,0.01083451
exp_07,draft_abandonment,39,281734,0.30168199,0.00086473,255129,0.30530075,0.00091176,0.01199527,0.00418909,0.01083451
exp_07,draft_abandonment,40,291129,0.29146234,0.00084223,250600,0.29395897,0.00091006,0.0085659,0.00427119,0.01083451
exp_07,draft_abandonment,41,249465,0.2942296,0.00091237,251866,0.29950401,0.00091268,0.01792618,0.00442552,0.01083451
exp_07,review_reactions,0,281883,0.08946957,0.00053759,253531,0.08454844,0.00055253,-0.05500334,0.00838924,-0.0489427
exp_07,review_reactions,1,266707,0.09443299,0.00056625,249992,0.09099079,0.0005752,-0.0364513,0.00839544,-0.03181578
exp_07,review_reactions,2,260910,0.09532567,0.00057492,273445,0.09326688,0.00055612,-0.02159745,0.00829784,-0.01906041
exp_07,review_reactions,3,281557,0.09330617,0.00054815,283182,0.0921871,0.00054363,-0.01199343,0.00822408,-0.00956076
exp_07,review_reactions,4,269806,0.08659457,0.00054144,260447,0.08771526,0.0005543,0.01294182,0.00900484,-0.00248584
exp_07,review_reactions,5,285777,0.08464965,0.00052071,269670,0.08470389,0.00053619,0.00064074,0.00883227,0.00278325
exp_07,review_reactions,6,290770,0.08689502,0.00052238,257628,0.08581654,0.00055183,-0.01241134,0.0086935,0.00670744
exp_07,review_reactions,7,245708,0.09046032,0.00057867,290480,0.09086613,0.00053328,0.00448607,0.00872022,0.00963
exp_07,review_reactions,8,255294,0.09423495,0.00057822,271972,0.09614519,0.00056526,0.02027102,0.00867024,0.0118066
exp_07,review_reactions,9,239606,0.09569028,0.00060096,271815,0.09649058,0.00056633,0.00836352,0.00866783,0.01342763
exp_07,review_reactions,10,245149,0.09097594,0.00058081,250364,0.09368093,0.00058234,0.02973308,0.00917563,0.01463491
exp_07,review_reactions,11,250938,0.08763333,0.00056446,278946,0.08826375,0.00053711,0.00719391,0.00892491,0.01553403
exp_07,review_reactions,12,269507,0.08544217,0.00053846,248835,0.08566064,0.00056103,0.00255689,0.00911236,0.01620366
exp_07,review_reactions,13,283611,0.08592669,0.00052625,274454,0.08765852,0.00053981,0.0201547,0.00886013,0.01670237
exp_07,review_reactions,14,242806,0.09027583,0.00058158,267416,0.09120548,0.00055674,0.01029791,0.00896631,0.01707379
exp_07,review_reactions,15,261400,0.09445145,0.00057201,281238,0.09645124,0.00055666,0.02117263,0.00854295,0.01735041
exp_07,review_reactions,16,273155,0.09606492,0.00056383,247734,0.09619504,0.00059241,0.00135456,0.00851881,0.01755642
exp_07,review_reactions,17,253455,0.09259902,0.00057577,274721,0.0947922,0.00055887,0.02368473,0.00877167,0.01770985
exp_07,review_reactions,18,245177,0.08769065,0.00057123,281881,0.08907177,0.00053651,0.01574994,0.00901185,0.01782411
exp_07,review_reactions,19,269621,0.08508652,0.00053733,241560,0.08683259,0.00057293,0.02052113,0.00932068,0.01790921
exp_07,review_reactions,20,278821,0.08607568,0.00053117,250697,0.08657178,0.00056163,0.00576353,0.00900525,0.01797259
exp_07,review_reactions,21,240130,0.09013938,0.00058442,263658,0.09246714,0.00056416,0.02582407,0.00913273,0.01801979
exp_07,review_reactions,22,245618,0.09392091,0.00058862,281073,0.09687406,0.00055792,0.03144296,0.00877913,0.01805495
exp_07,review_reactions,23,291189,0.09444872,0.00054196,255287,0.09735833,0.00058672,0.03080619,0.00857762,0.01808113
exp_07,review_reactions,24,245199,0.09163516,0.00058264,278291,0.09448175,0.00055446,0.03106441,0.00892134,0.01810063
exp_07,review_reactions,25,268811,0.08720797,0.00054418,276737,0.08935704,0.00054226,0.02464298,0.00891871,0.01811515
exp_07,review_reactions,26,291151,0.08358272,0.00051292,241060,0.08601309,0.00057107,0.02907749,0.00930385,0.01812597
exp_07,review_reactions,27,262295,0.08574848,0.0005467,270301,0.08713609,0.00054247,0.01618242,0.00905525,0.01813402
exp_07,review_reactions,28,283914,0.09042448,0.00053823,260661,0.09187197,0.00056575,0.01600767,0.00870164,0.01814002
exp_07,review_reactions,29,252299,0.09441559,0.00058214,280438,0.09603554,0.00055638,0.01715761,0.00860572,0.01814449
exp_07,review_reactions,30,273152,0.09530206,0.00056182,266712,0.09718181,0.00057355,0.01972411,0.00850629,0.01814781
exp_07,review_reactions,31,269472,0.09148959,0.00055538,244010,0.09366825,0.00058984,0.02381319,0.00895498,0.01815029
exp_07,review_reactions,32,270205,0.08779312,0.00054442,283404,0.08943395,0.00053605,0.01868979,0.00878553,0.01815214
exp_07,review_reactions,33,260248,0.08487142,0.0005463,265881,0.08614643,0.00054414,0.01502282,0.00915379,0.01815351
exp_07,review_reactions,34,284859,0.08585473,0.0005249,283264,0.08744255,0.00053076,0.01849435,0.00877447,0.01815454
exp_07,review_reactions,35,286682,0.09031304,0.00053533,276241,0.09179137,0.00054935,0.01636889,0.00856122,0.0181553
exp_07,review_reactions,36,272844,0.09367391,0.00055782,291787,0.09673609,0.00054723,0.03268983,0.00848201,0.01815587
exp_07,review_reactions,37,279592,0.09490139,0.00055427,256491,0.09644122,0.00058287,0.01622552,0.00854107,0.01815629
exp_07,review_reactions,38,256600,0.09303609,0.00057345,289828,0.0934562,0.00054067,0.00451556,0.00849157,0.0181566
exp_07,review_reactions,39,291099,0.08808163,0.00052529,248944,0.08965328,0.00057258,0.01784306,0.008894,0.01815684
exp_07,review_reactions,40,246549,0.08471718,0.0005608,249766,0.08676334,0.00056324,0.02415282,0.00949554,0.01815701
exp_07,review_reactions,41,249816,0.08576197,0.00056023,239911,0.08723928,0.00057612,0.01722577,0.00944887,0.01815714
exp_07,photo_review_starts,0,350679,0.05949748,0.00039946,366111,0.06105707,0.00039571,0.02621272,0.00957631,0.0150713
exp_07,photo_review_starts,1,347560,0.06298119,0.00041206,335190,0.06312742,0.00042005,0.0023218,0.00935347,0.0150713
exp_07,photo_review_starts,2,372572,0.06387044,0.0004006,390319,0.06436416,0.00039279,0.00772999,0.00881877,0.0150713
exp_07,photo_review_starts,3,353890,0.06145034,0.0004037,347834,0.06270003,0.00041104,0.02033659,0.00946967,0.0150713
exp_07,photo_review_starts,4,328354,0.05877317,0.00041046,346521,0.0588745,0.00039987,0.00172409,0.00975861,0.0150713
exp_07,photo_review_starts,5,350984,0.0559059,0.00038779,345506,0.05677187,0.00039368,0.01548973,0.00996013,0.0150713
exp_07,photo_review_starts,6,387150,0.05792029,0.00037542,395644,0.0577471,0.00037085,-0.00299005,0.00909707,0.0150713
exp_07,photo_review_starts,7,370821,0.05989941,0.00038969,394509,0.06033529,0.00037909,0.00727689,0.00911021,0.0150713
exp_07,photo_review_starts,8,396876,0.06172059,0.00038199,365866,0.06306349,0.00040187,0.02175771,0.00907653,0.0150713
exp_07,photo_review_starts,9,386804,0.06382602,0.00039304,375464,0.06391246,0.00039918,0.00135434,0.00878278,0.0150713
exp_07,photo_review_starts,10,358406,0.06106927,0.00039998,350701,0.06260229,0.00040906,0.0251031,0.00948399,0.0150713
exp_07,photo_review_starts,11,357154,0.05851496,0.00039275,351034,0.05992745,0.00040061,0.02413885,0.00970164,0.0150713
exp_07,photo_review_starts,12,336337,0.05732529,0.00040084,373280,0.05692992,0.00037925,-0.00689697,0.00959105,0.0150713
exp_07,photo_review_starts,13,344800,0.05740476,0.00039614,368975,0.05780373,0.00038419,0.00695014,0.00964774,0.0150713
exp_07,photo_review_starts,14,340715,0.06002529,0.00040694,374893,0.06087356,0.0003905,0.01413179,0.00946532,0.0150713
exp_07,photo_review_starts,15,375951,0.0626838,0.00039533,340998,0.0633949,0.00041728,0.01134426,0.00921934,0.0150713
exp_07,photo_review_starts,16,331383,0.06395116,0.00042502,366739,0.06471059,0.00040624,0.0118751,0.00925077,0.0150713
exp_07,photo_review_starts,17,383971,0.06184524,0.00038872,399280,0.06305761,0.00038467,0.01960327,0.00893069,0.0150713
exp_07,photo_review_starts,18,374738,0.05795103,0.00038168,398835,0.05954872,0.00037472,0.02756957,0.00936032,0.0150713
exp_07,photo_review_starts,19,357768,0.05609382,0.0003847,376240,0.05774695,0.00038029,0.02947095,0.00978823,0.0150713
exp_07,photo_review_starts,20,348598,0.05703048,0.00039277,389593,0.05789635,0.00037417,0.01518252,0.0095879,0.0150713
exp_07,photo_review_starts,21,345746,0.06021796,0.00040457,335889,0.06045461,0.00041122,0.0039299,0.0095983,0.0150713
exp_07,photo_review_starts,22,384855,0.06203464,0.00038883,355556,0.0647626,0.00041273,0.0439748,0.00933192,0.0150713
exp_07,photo_review_starts,23,380808,0.06350825,0.0003952,346986,0.06353198,0.00041408,0.00037356,0.00901465,0.0150713
exp_07,photo_review_starts,24,355006,0.06143582,0.00040302,383325,0.06288598,0.00039209,0.0236045,0.00926397,0.0150713
exp_07,photo_review_starts,25,333823,0.05832187,0.00040561,392337,0.05974327,0.00037839,0.02437179,0.00963573,0.0150713
exp_07,photo_review_starts,26,330950,0.05611454,0.00040005,355174,0.05642762,0.00038718,0.00557927,0.00994996,0.0150713
exp_07,photo_review_starts,27,400906,0.05775919,0.00036844,373544,0.0576084,0.00038123,-0.00261065,0.00916752,0.0150713
exp_07,photo_review_starts,28,392299,0.05989108,0.00037884,355366,0.06135549,0.00040257,0.02445131,0.00933672,0.0150713
exp_07,photo_review_starts,29,335273,0.06321409,0.00042027,338984,0.06325938,0.0004181,0.00071645,0.00938136,0.0150713
exp_07,photo_review_starts,30,365849,0.06378983,0.00040403,354738,0.06365587,0.0004099,-0.00210003,0.0090133,0.0150713
exp_07,photo_review_starts,31,340287,0.06191509,0.00041314,385727,0.0623742,0.00038938,0.00741509,0.00920537,0.0150713
exp_07,photo_review_starts,32,370008,0.05844433,0.00038565,382284,0.05909565,0.00038138,0.01114432,0.00933267,0.0150713
exp_07,photo_review_starts,33,356993,0.05641126,0.00038614,388338,0.05705566,0.00037221,0.01142311,0.00956385,0.0150713
exp_07,photo_review_starts,34,388569,0.05708514,0.00037219,360997,0.05822589,0.00038974,0.01998332,0.00953093,0.0150713
exp_07,photo_review_starts,35,330903,0.06017621,0.00041341,389512,0.06076219,0.00038278,0.0097376,0.00941183,0.0150713
exp_07,photo_review_starts,36,378192,0.06329351,0.00039594,365967,0.06360201,0.00040341,0.00487412,0.00895194,0.0150713
exp_07,photo_review_starts,37,394268,0.06324791,0.00038765,332102,0.06476122,0.00042705,0.02392656,0.00921818,0.0150713
exp_07,photo_review_starts,38,394099,0.06243967,0.00038541,330695,0.06308061,0.00042275,0.01026495,0.00920475,0.0150713
exp_07,photo_review_starts,39,356797,0.0581105,0.00039167,364784,0.05971011,0.00039232,0.027527,0.00967173,0.0150713
exp_07,photo_review_starts,40,349597,0.05600766,0.00038889,369983,0.05720601,0.0003818,0.021396,0.00983707,0.0150713
exp_07,photo_review_starts,41,365290,0.05706718,0.00038381,358430,0.05783464,0.0003899,0.01344839,0.00965084,0.0150713
exp_07,review_length,0,360943,47.99387244,0.07189671,332017,48.29397464,0.07543194,0.00625293,0.00217773,0.00572865
exp_07,review_length,1,366637,50.31585705,0.07478754,346458,50.59304942,0.07735851,0.00550905,0.00214417,0.00754402
exp_07,review_length,2,376594,50.77665267,0.07446803,330002,51.40559171,0.08053684,0.01238638,0.0021726,0.0093015
exp_07,review_length,3,338596,49.19930725,0.07609578,398426,49.83446988,0.07105563,0.01290999,0.00213078,0.01100296
exp_07,review_length,4,375457,46.74204031,0.06865467,343749,47.28791402,0.07258919,0.01167843,0.00214937,0.01265017
exp_07,review_length,5,340976,45.16535218,0.0696123,363063,45.82423356,0.06844579,0.0145882,0.0021776,0.01424487
exp_07,review_length,6,383987,45.76040624,0.06646211,392915,46.43974241,0.06667807,0.0148455,0.00207261,0.01578873
exp_07,review_length,7,393234,48.00526699,0.06889788,354428,48.8078305,0.07378499,0.01671824,0.00211937,0.01728336
exp_07,review_length,8,390630,50.1796277,0.0722582,383897,51.23564847,0.07442304,0.02104481,0.00208841,0.01873034
exp_07,review_length,9,329994,50.77769555,0.07955408,345192,51.7351604,0.07924976,0.01885601,0.00223246,0.0201312
exp_07,review_length,10,329359,49.1701332,0.07710972,391948,50.36310451,0.07240037,0.02426211,0.00217904,0.02148739
exp_07,review_length,11,353254,46.8507561,0.07094398,331843,47.71486966,0.07454696,0.01844396,0.00221588,0.02280034
exp_07,review_length,12,361880,45.12442469,0.06751059,401453,46.27769144,0.06573503,0.02555748,0.00211573,0.02407143
exp_07,review_length,13,338768,45.73499736,0.07071963,337518,46.95762218,0.0727445,0.02673281,0.00224732,0.025302
exp_07,review_length,14,376118,48.05853023,0.07052627,360172,49.28627936,0.07391176,0.02554696,0.00215182,0.02649334
exp_07,review_length,15,337420,50.1731922,0.07773719,356783,51.8030707,0.07805414,0.03248505,0.00223142,0.0276467
exp_07,review_length,16,343239,50.78488733,0.0780151,350222,52.10772932,0.0792452,0.02604795,0.00221795,0.02876328
exp_07,review_length,17,351653,49.36070153,0.07491464,370033,50.74633269,0.07508046,0.02807155,0.00217903,0.02984427
exp_07,review_length,18,340050,46.7016844,0.07207816,388118,48.12877743,0.06952891,0.03055763,0.0021786,0.03089079
exp_07,review_length,19,353104,45.12924601,0.06835169,337306,46.53317473,0.07210961,0.03110907,0.00223428,0.03190395
exp_07,review_length,20,361225,45.83926622,0.06864221,397675,47.24741352,0.0674305,0.03071924,0.00213217,0.03288481
exp_07,review_length,21,334693,47.92829382,0.0745609,373763,49.69250231,0.07315352,0.03680933,0.00222063,0.03383439
exp_07,review_length,22,398284,50.25608661,0.07166956,370500,52.10397172,0.07704052,0.03676938,0.00212979,0.0347537
